Hemvir	81997	43527	85607	34553	36484	44114	39885	45137	31583	43193
Hetarc	161281	126222	167742	51158	108431	80805	78897	85013	47213	78532
Dicspe	436188	203693	721824	62722	81854	446320	409662	415691	266543	548233
Alemin	53609	77127	68380	16699	19504	30141	32673	36273	15576	32003
Erymad	32413	14254	30724	13230	17587	16726	15688	16727	15413	16909
Crypar	267052	107060	142679	64531	73405	80531	71922	88942	59212	87094
Minchi	57921	83642	23731	13545	44687	13874	13150	44289	9585	77749
Phacor	103521	60430	108710	34249	43187	60167	49582	50882	30006	51035
Synrec	131911	54429	163704	111511	146335	93710	73000	92749	123915	93355
Pyramy	201870	123519	207221	91295	112162	132049	101141	87695	107525	100657
Eucant	308732	100938	1519114	1365998	1640851	923686	600311	586003	1285334	628844
Heltam	220276	43717	160334	208800	142817	103129	67556	70575	129351	72654
Nitpun	325046	185927	414983	230891	420024	215729	190831	225357	271835	227662
Gymcat	215239	149612	246498	95763	118436	114812	119715	128908	94181	123861
Madery	97472	101333	132656	54490	91179	78543	69065	92583	61508	86140
Sexsp	77547	130868	105187	43319	85898	66907	55039	80071	43828	76665
Lotamo	146070	70926	130758	61810	73844	107024	72677	67960	98260	76400
Pyrobo	73155	45047	97232	36416	38084	57481	45753	51666	37248	50416
Cafsp	56917	59212	66193	31123	30421	40233	36599	49904	20760	42641
Proadh	117001	46306	128305	66492	91944	76301	60374	63597	98737	69375
Pyrbah	232367	180082	258155	88517	113947	129947	133260	146264	87205	134923
Chrpol	320697	257053	494639	145911	145960	281175	229853	254795	105331	226387
Ostmed	1181731	544160	845985	380637	476365	455911	425169	472819	360830	449506
CCMP2097	244236	84895	156720	57793	69377	83738	77797	85213	43364	74875
CCMP2098	487849	410927	479888	200320	303881	276989	227979	275621	196405	267668
RCC8561	2160	1551	2301	1663	1127	1457	1170	1311	1022	1458
Norsph	109166	66261	118841	57000	83438	77223	59587	67457	76105	71855
RCC8563	2863	1541	3086	1430	1430	1632	1391	1707	1195	1770
Ptedan	299380	346854	376368	176178	405222	217818	169241	249420	269728	268186
RCC8565	14151	2092	5536	3037	3437	2586	2926	3119	1528	2788
Chlrep	109629	77608	127628	57878	78980	75612	63034	75806	69658	74399
RCC8567	2682	2503	2516	813	1135	2296	1796	2112	929	1788
Strinc	449076	109602	183404	88848	171699	97339	67680	101479	120479	112600
Undescribed	71277	20634	43877	25339	31919	29336	20149	19937	28713	22493
Dacfra	303040	107773	320422	290296	248125	169402	120710	135507	236184	140009
Pycsp	46257	19271	33436	15407	16768	17595	16737	21559	11501	20537
Detcon	237868	81323	203069	144163	129275	110051	75466	81201	137045	85901
Stracu	320809	226802	295419	242637	161227	171662	147574	184067	145300	202534
Percos	102732	58667	161998	83724	121877	94994	75235	79264	132925	88135
Lepdan	880379	435877	2085248	808451	657835	1218134	699387	799630	1746769	788917
Pracol	214813	67279	114884	52596	68326	58417	53420	58677	48162	54383
Strras	325804	68380	117816	49809	117144	61514	40936	69192	64259	72920
Togjol	169252	154818	178777	70650	86285	93258	93200	108517	63867	103103
Alvsp	82929	48728	79218	37293	38150	42961	40356	48138	31888	47959
Crusti	69467	41677	74150	63823	29648	38140	34793	39133	19889	34950
Hetaka	678758	277569	466148	272210	294103	299992	232212	260005	242345	257480
Styreg	197415	192465	220972	103458	116258	126639	113298	222786	92403	142875
Durbal	533139	308746	520841	215791	340504	247647	236682	262842	232830	253379
Ampcof	254854	238613	246627	125857	262641	142156	111811	159744	137529	157380
Nocsci	117773	84174	138065	60078	76112	85349	69676	77417	74741	79536
Oxymar	5495	5082	5815	2056	2224	2803	2825	3006	1924	2923
Rhimar	177774	68938	143248	78992	76987	68829	64390	79920	61360	89426
Thafra	193242	69483	222823	174985	221247	141386	97511	108523	201261	112406
Eryaus	54359	84115	44530	17833	24161	27238	22454	24824	18657	24191
Hemand	462210	163513	272114	130297	137204	153679	135255	160930	94651	151375
RCC7019	18935	5165	11028	5338	5469	5820	5821	6970	3205	6156
Euphar	39861	23384	57909	31200	36431	32452	27544	31105	39989	33164
Phaant	177084	128827	238060	64304	80927	137296	112045	133707	56277	119677
Picsp	203125	70597	163841	40317	50339	65113	70028	78689	40679	78445
Skecos	3302989	4918526	939540	398081	298418	356501	177612	210662	430347	238057
Nitsp	263212	161125	421530	196747	321952	193701	178412	203554	232112	210641
Flosp	144107	105815	315958	43319	85593	81008	75268	89059	36190	89244
Attsep	207283	51675	143617	82391	124904	89121	65286	72866	122328	74825
RCC7013	2310	1845	3075	1294	1295	2015	1809	2003	1414	1954
RCC7012	2889	1976	3171	1227	1344	1873	1742	1826	1314	1805
RCC7015	2264	1827	3067	1267	1390	1974	1839	2091	1278	1999
RCC7014	6524	5248	7555	2979	3463	3905	3562	7707	4184	8839
RCC7017	1999	1453	2622	898	1160	1438	1376	1525	987	1445
Bolpac	261624	116847	226573	105618	159510	139274	127925	147715	146822	145235
Mansp	486495	331404	488798	140541	242927	295729	247092	189437	185903	233166
Psesp	194916	48398	124858	75712	76090	69026	60544	70456	77286	75611
