gID	S1	S2	S3	S4	S5
K12176	33.190429	66.595230	37.312419	37.754500	29.277481
K12177	0.022487	0.089130	0.059039	0.079876	0.044630
K12178	5.453035	6.328255	5.148169	4.206778	4.708497
K12179	5.093247	27.838381	7.415253	6.523168	9.416995
K07301	0.044973	0.014855	0.094462	0.346127	0.111576
K07300	20.980129	100.821286	23.473763	25.906296	29.634523
K07303	0.146164	0.059420	0.165308	0.186376	0.133891
K07305	1.956346	2.540215	2.030929	2.502767	2.164570
K07304	175.981229	244.588547	148.493983	138.903544	212.217104
K07307	0.011243	0.044565	0.011808	0.026625	0.044630
K02615	0.033730	0.000000	0.094462	0.079876	0.133891
K02964	521.782321	103.688312	637.310294	522.705458	385.516582
K05645	0.247354	0.475362	0.814733	0.319502	2.476982
K16092	0.146164	0.178261	0.495925	0.612379	0.267782
K16091	0.000000	0.044565	0.094462	0.372752	0.044630
K02963	5.284384	0.371376	0.826541	0.585754	0.669455
K02612	0.000000	0.014855	0.000000	0.000000	0.000000
K03114	0.000000	0.014855	0.000000	0.000000	0.000000
K02961	2.934520	2.287679	8.418910	8.067428	16.401637
K08825	8.702368	27.363019	10.284531	13.339213	12.853528
K03119	0.438491	0.356521	0.802925	0.878631	1.294279
K04819	0.000000	0.029710	0.011808	0.026625	0.000000
K09680	8.612422	30.274610	7.061021	9.425312	16.111540
K09688	0.101190	0.163406	0.047231	0.026625	0.111576
K11159	4.654755	5.778618	2.089968	2.609267	1.896788
K11155	23.453670	21.940922	23.249416	7.588175	15.955334
K11154	0.078704	0.014855	0.141693	0.053250	0.200836
K11153	1.068120	1.218115	3.518703	3.541148	5.266376
K04424	0.472222	0.401087	3.199894	4.712656	4.953964
K00308	0.179894	0.103985	0.271578	0.079876	0.133891
K00658	11.738078	27.793815	15.196546	16.054981	57.149107
K00656	0.022487	0.029710	0.035423	0.000000	0.022315
K00657	0.258598	0.133696	0.436886	0.292877	0.446303
K00654	15.706988	88.016225	19.825175	42.680157	29.857675
K00655	41.712903	21.495270	20.415561	63.687421	19.347238
K00652	5.520495	3.401809	3.317971	3.514523	3.213382
K00301	0.123677	0.207971	0.684848	0.346127	0.647139
K00650	0.078704	0.044565	0.023615	0.000000	0.044630
K00651	0.112434	0.118840	0.141693	0.372752	0.089261
K10823	0.000000	0.000000	0.000000	0.000000	0.000000
K04427	0.067460	0.000000	0.106270	0.133126	0.156206
K09166	0.000000	0.000000	0.000000	0.000000	0.000000
K10245	0.033730	0.000000	0.011808	0.079876	0.022315
K17255	22.790311	124.336844	30.168744	99.365157	117.132238
K11975	0.472222	0.430797	0.637617	0.852006	0.669455
K14258	0.011243	0.014855	0.011808	0.000000	0.000000
K05857	68.910615	58.306107	22.186720	20.554636	24.926026
K11976	4.665999	7.442385	5.419747	7.827802	10.264970
K17800	8.781072	8.229703	16.530819	28.595439	26.688923
K01303	7.038350	28.298887	5.466978	7.428424	8.903746
K08573	0.000000	0.000000	0.011808	0.026625	0.000000
K01301	0.494708	0.415942	1.440543	2.289765	1.584376
K01307	1.843913	1.752897	3.695819	4.925658	6.783806
K01304	2.214944	4.664489	8.808565	3.115146	3.258012
K00672	0.000000	0.000000	0.000000	0.000000	0.000000
K02650	0.000000	0.014855	0.000000	0.000000	0.000000
K05683	0.067460	0.029710	0.035423	0.026625	0.044630
K05850	26.995332	76.934351	38.764770	53.330228	44.674936
K05687	0.067460	0.044565	0.070846	0.053250	0.044630
K05684	0.000000	0.000000	0.011808	0.000000	0.022315
K05685	0.000000	0.014855	0.011808	0.000000	0.000000
K00878	0.000000	0.000000	0.000000	0.000000	0.066945
K00872	22.205656	17.261579	12.185575	16.614110	11.447673
K00873	401.781831	82.831809	436.578923	233.822297	273.137472
K00871	0.191137	0.074275	0.366040	0.505878	0.535564
K00876	3.159387	9.670643	6.387981	19.143502	7.364000
K00874	0.269841	0.267391	0.425078	0.213001	0.691770
K00673	0.022487	0.000000	0.000000	0.000000	0.000000
K04487	14.695085	61.395959	24.867075	23.616531	31.508996
K04485	3.462958	10.725353	5.573247	3.860651	4.329140
K04483	0.000000	0.000000	0.023615	0.000000	0.000000
K04482	6.521155	19.727518	5.844825	7.268673	8.323552
K04488	13.008579	53.433647	15.409085	17.838868	21.913480
K15255	21.227483	17.989476	12.350883	10.836447	14.237068
K15256	0.078704	0.029710	0.247962	0.106501	0.423988
K15257	1.416665	0.267391	1.098119	0.718880	1.205018
K15706	0.832009	2.867026	0.590386	0.745505	0.669455
K04370	0.573412	0.623912	1.818390	0.985132	1.740582
K04373	0.438491	0.103985	0.377847	0.186376	0.535564
K04372	0.011243	0.029710	0.047231	0.079876	0.000000
K15702	0.382275	0.727898	0.625810	0.931881	1.004182
K15703	0.022487	0.059420	0.059039	0.026625	0.022315
K15701	0.101190	0.103985	0.472309	0.798755	0.647139
K01828	0.404761	0.683333	0.354232	0.798755	0.847976
K13701	1.011903	0.356521	0.354232	0.266252	0.223152
K13702	0.056217	0.014855	0.023615	0.026625	0.044630
K13703	0.033730	0.059420	0.070846	0.079876	0.267782
K18024	0.067460	0.014855	0.047231	0.000000	0.022315
K13706	0.022487	0.000000	0.011808	0.000000	0.022315
K13697	0.078704	0.074275	0.129885	0.426003	0.401673
K13694	0.022487	0.000000	0.011808	0.026625	0.000000
K17914	0.224867	0.014855	0.070846	0.079876	0.066945
K04507	5.475521	29.234756	9.080143	7.268673	25.059917
K00677	0.056217	0.029710	0.153500	0.133126	0.245467
K09516	9.185833	9.299267	5.939287	12.540458	11.336098
K09517	0.044973	0.029710	0.153500	0.000000	0.089261
K09514	0.056217	0.103985	0.188924	0.239627	0.089261
K09515	0.269841	0.118840	0.885580	0.692255	0.736400
K09512	2.383594	14.097451	5.030092	5.910789	8.702910
K09513	0.033730	0.029710	0.011808	0.000000	0.000000
K09510	1.461638	3.892025	1.416927	0.772130	1.896788
K09511	0.292328	0.193116	0.413270	0.292877	1.138073
K09518	3.687825	9.150716	5.679517	11.076073	9.595516
K09519	0.033730	0.044565	0.070846	0.159751	0.022315
K02434	1.540342	1.678622	4.038243	3.274897	2.677818
K02435	0.011243	0.059420	0.035423	0.133126	0.022315
K08104	0.933200	0.267391	0.236155	0.292877	0.066945
K05357	3.901449	1.990578	1.464158	0.559129	0.446303
K05350	0.000000	0.000000	0.000000	0.000000	0.000000
K02431	0.472222	2.465940	0.531348	0.452628	0.401673
K02433	2.102510	2.347099	3.601357	3.940526	4.418400
