gID	S1	S2	S3	S4	S5
K04837	0.179894	0.133696	0.318809	0.346127	0.267782
K04834	0.089947	0.148551	0.342424	0.266252	0.357042
K11992	0.179894	0.252536	0.460501	0.426003	0.669455
K11991	0.899470	1.381520	2.963740	1.730636	2.298461
K11990	5.329357	0.921014	1.782967	1.464385	1.026497
K11997	0.146164	0.594202	0.897387	0.825380	1.138073
K11996	12.457654	14.127161	12.350883	6.416667	11.581564
K11995	0.011243	0.029710	0.070846	0.000000	0.022315
K11628	0.326058	0.103985	0.366040	0.159751	0.312412
K11999	0.146164	0.029710	0.271578	0.319502	0.133891
K10578	4.306211	16.786216	8.560603	11.422201	10.934425
K10579	8.803559	16.845637	13.401771	14.643847	22.649880
K10576	0.843253	1.515216	1.877429	0.852006	1.673636
K10577	13.121013	21.955777	17.581707	12.913210	22.694511
K10574	0.033730	0.089130	0.035423	0.133126	0.066945
K10575	42.927187	58.424946	46.085561	41.828152	67.190925
K10572	29.277736	7.932601	6.801251	6.842670	4.953964
K10573	12.480141	28.105771	24.760805	32.722341	67.057035
K10570	6.599858	10.368831	6.175442	7.455049	7.430946
K10571	0.022487	0.014855	0.059039	0.026625	0.000000
K07561	24.420600	10.799628	15.172930	8.040803	11.693140
K07560	5.520495	7.011588	6.210865	9.718189	9.372364
K07562	101.358982	40.673151	108.949903	25.400418	65.093301
K07565	34.067411	10.205425	34.584834	5.964039	16.535528
K07566	1.416665	0.817028	1.853813	1.411134	0.959552
K07568	81.267079	11.274990	21.183063	8.227179	8.412813
K13885	0.078704	0.103985	0.153500	0.186376	0.111576
K09579	0.427248	0.534782	1.263427	0.718880	2.633188
K10719	0.067460	0.059420	0.141693	0.239627	1.182703
K10712	1.225527	1.336955	2.975547	1.278008	2.633188
K10710	0.033730	0.118840	0.000000	0.026625	0.000000
K10716	4.126317	4.738764	9.351720	6.496543	9.350049
K10717	0.146164	0.118840	0.531348	0.266252	0.423988
K01929	0.022487	0.029710	0.011808	0.000000	0.000000
K01928	0.573412	0.638768	1.133542	0.585754	1.026497
K01923	55.609709	28.031496	55.850552	13.632090	27.291432
K01922	7.049593	15.568102	10.473454	14.377595	17.495080
K01921	5.419304	5.897458	11.630612	4.366529	8.301237
K01920	40.307482	46.674595	32.943560	17.332990	33.249578
K01925	0.213624	0.118840	0.578579	0.186376	0.758715
K01924	0.314814	0.178261	0.354232	0.426003	0.267782
K07788	0.044973	0.074275	0.129885	0.053250	0.044630
K07785	0.022487	0.000000	0.000000	0.000000	0.022315
