,nCpds,nGenes,Km0_cpd,Km0_gene,Km1_cpd,Km1_gene,Km2_cpd,Km2_gene,Km3_cpd,Km3_gene,Km4_cpd,Km4_gene,Km5_cpd,Km5_gene
ko03420,0,47,0,0,0,0,0,1,0,0,0,1,0,0
ko03430,0,44,0,0,0,0,0,1,0,0,0,1,0,0
ko03440,0,60,0,0,0,0,0,0,0,0,0,0,0,0
ko03450,0,19,0,0,0,0,0,0,0,0,0,2,0,0
ko03460,0,54,0,0,0,0,0,0,0,0,0,0,0,0
ko04010,5,190,0,0,0,0,0,0,0,0,0,0,0,0
ko04011,0,90,0,0,0,0,0,0,0,0,0,0,0,0
ko04012,4,68,0,0,0,0,0,0,0,0,0,0,0,0
ko04013,0,18,0,0,0,0,0,0,0,0,0,0,0,0
ko04014,7,167,0,0,0,0,0,0,0,0,0,0,0,0
ko04015,5,156,0,0,0,0,0,0,0,0,0,0,0,0
ko04020,10,141,0,0,0,0,0,1,0,0,0,1,0,0
ko04022,14,117,1,0,0,0,0,0,0,0,1,2,1,0
ko04024,40,146,4,0,0,0,0,0,2,0,4,1,0,0
ko04060,0,212,0,0,0,0,0,0,0,0,0,0,0,0
ko04062,5,146,0,0,0,0,0,0,0,0,0,0,0,0
ko04064,3,87,0,0,0,0,0,0,0,0,0,1,0,0
ko04066,15,71,2,0,0,0,0,0,0,0,0,1,0,0
ko04068,5,100,2,0,0,0,0,0,0,0,0,2,0,0
ko04070,29,51,1,0,0,0,0,1,0,0,0,3,0,0
ko04071,16,78,0,0,1,0,0,4,0,0,1,4,0,0
ko04072,13,99,1,0,0,0,0,0,1,0,0,1,0,0
ko04075,12,45,1,0,0,0,0,0,1,0,2,0,0,0
ko04080,130,252,8,0,0,0,0,0,6,0,5,0,0,0
ko04110,0,107,0,0,0,0,0,0,0,0,0,0,0,0
ko04111,2,122,0,0,0,0,0,0,0,0,0,0,0,0
ko04112,1,31,0,0,0,0,0,0,0,1,0,0,0,0
ko04113,3,99,1,0,0,0,0,0,0,0,0,0,0,0
ko04114,4,76,0,0,0,0,0,0,1,0,0,0,0,0
ko04115,0,60,0,0,0,0,0,0,0,0,0,0,0,0
ko04120,0,124,0,0,0,0,0,0,0,0,0,0,0,0
ko04122,10,21,1,0,0,0,0,0,0,0,0,3,1,0
ko04130,0,34,0,0,0,0,0,0,0,0,0,0,0,0
ko04139,1,34,0,0,0,0,0,0,0,0,0,0,0,0
ko04140,5,24,0,0,0,0,0,0,0,0,0,0,0,0
ko04141,6,140,0,0,0,0,0,1,0,0,0,2,0,0
ko04142,4,102,1,0,0,0,0,2,0,0,0,9,0,0
ko04144,6,177,0,0,0,0,0,0,0,0,0,0,0,0
ko04145,1,95,0,0,0,0,0,0,0,0,0,0,0,0
ko04146,0,72,0,1,0,0,0,3,0,1,0,3,0,0
ko04150,10,39,1,0,0,0,0,0,0,0,0,0,0,0
ko04151,4,240,1,0,0,0,0,0,0,0,0,1,0,0
ko04152,23,82,2,0,0,0,0,0,0,0,0,1,0,0
ko04210,4,109,0,0,0,0,0,0,0,0,0,0,0,0
ko04211,8,67,1,0,0,0,0,0,0,0,1,1,0,0
ko04212,12,55,0,0,0,0,0,0,0,1,1,0,0,0
ko04213,2,58,0,0,0,0,0,0,0,0,0,0,0,0
ko04214,1,56,0,0,0,0,0,0,0,0,0,0,0,0
ko04260,4,60,0,0,0,0,0,0,0,0,0,0,0,0
ko04261,11,92,1,0,0,0,0,0,0,0,0,0,0,0
ko04270,26,86,2,0,0,0,0,0,6,0,2,1,0,0
ko04310,1,103,0,0,0,0,0,0,0,0,0,0,0,0
ko04320,0,24,0,0,0,0,0,0,0,0,0,0,0,0
ko04330,0,28,0,0,0,0,0,0,0,0,0,0,0,0
ko04340,1,39,0,0,0,0,0,0,0,0,0,0,0,0
ko04350,0,69,0,0,0,0,0,0,0,0,0,0,0,0
ko04360,1,122,0,0,0,0,0,0,0,0,0,0,0,0
ko04370,6,39,1,0,0,0,0,1,1,0,1,1,0,0
ko04380,3,99,0,0,0,0,0,1,0,0,0,0,0,0
ko04390,0,109,0,0,0,0,0,0,0,0,0,0,0,0
ko04391,0,52,0,0,0,0,0,0,0,0,0,0,0,0
ko04510,2,148,0,0,0,0,0,0,0,0,0,0,0,0
ko04512,1,60,0,0,0,0,0,0,0,0,0,0,0,0
ko04514,0,99,0,0,0,0,0,0,0,0,0,0,0,0
ko04520,0,60,0,0,0,0,0,0,0,0,0,0,0,0
ko04530,1,77,0,0,0,0,0,0,0,0,0,0,0,0
ko04540,11,59,1,0,0,0,0,0,0,0,0,0,0,0
ko04550,0,108,0,0,0,0,0,0,0,0,0,0,0,1
ko04610,2,78,0,0,0,0,0,0,0,0,0,0,0,0
ko04611,15,87,4,0,0,0,1,1,3,0,3,0,0,0
ko04612,0,41,0,0,0,0,0,0,0,0,0,0,0,0
ko04614,11,22,0,0,0,0,0,0,0,0,0,0,0,0
ko04620,0,76,0,0,0,0,0,0,0,0,0,0,0,0
ko04621,1,51,0,0,0,0,0,0,0,0,0,0,0,0
ko04622,0,53,0,0,0,0,0,0,0,0,0,0,0,0
ko04623,1,51,0,0,0,0,0,0,0,0,0,0,0,0
ko04626,5,78,0,0,0,0,0,0,0,0,0,0,0,0
ko04630,0,129,0,0,0,0,0,0,0,0,0,0,0,0
ko04640,2,77,0,0,0,0,0,0,0,0,0,0,0,0
ko04650,4,81,0,0,0,0,0,0,0,0,0,0,0,0
ko04660,4,85,0,0,0,0,0,0,0,0,0,0,0,0
ko04662,4,57,0,0,0,0,0,0,0,0,0,0,0,0
ko04664,11,45,1,0,0,0,0,0,1,0,1,0,0,0
ko04666,8,58,0,0,0,0,0,1,0,0,0,1,0,0
ko04668,0,87,0,0,0,0,0,0,0,0,0,1,0,0
ko04670,4,75,0,0,0,0,0,0,0,0,0,0,0,0
ko04672,2,37,0,0,0,0,0,0,0,0,2,0,0,0
ko04710,2,22,0,0,0,0,0,0,0,0,0,0,0,0
ko04711,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ko04712,0,27,0,0,0,0,0,0,0,0,0,0,0,0
ko04713,11,76,0,0,0,0,0,0,0,0,0,0,0,0
ko04720,7,43,0,0,0,0,0,0,0,0,0,0,0,0
ko04721,12,40,1,0,0,0,0,0,0,0,0,0,0,0
ko04722,5,90,0,0,0,0,0,0,0,0,0,0,0,0
ko04723,19,74,1,0,0,0,0,0,1,0,1,1,0,0
ko04724,8,85,0,0,0,0,0,0,0,0,0,0,0,0
ko04725,12,88,0,0,0,0,0,0,0,0,0,0,0,0
ko04726,42,84,16,0,0,0,1,2,18,1,10,5,0,0
ko04727,9,65,1,0,0,0,0,0,0,0,1,2,0,0
ko04728,12,83,0,0,0,0,0,0,1,0,0,3,0,0
ko04730,9,45,0,0,0,0,0,0,0,0,0,0,0,0
ko04740,8,25,1,0,0,0,0,0,0,0,0,1,1,0
ko04742,33,40,6,0,0,0,0,0,0,0,1,1,2,0
ko04744,8,18,0,0,0,0,0,0,0,0,0,0,1,0
ko04745,11,18,0,0,0,0,0,0,0,0,0,0,0,0
ko04750,36,67,4,0,0,0,0,0,8,1,2,1,1,0
ko04810,6,151,0,0,0,0,0,0,0,0,0,0,0,0
ko04910,4,86,1,0,0,0,0,0,0,0,0,3,0,0
ko04911,13,68,1,0,0,0,0,0,0,0,0,0,0,0
ko04912,6,63,0,0,0,0,0,0,0,0,0,0,0,0
ko04913,24,39,5,2,0,0,0,1,8,3,2,4,1,0
ko04914,4,59,0,0,0,0,0,0,1,0,0,1,0,0
ko04915,9,65,1,0,0,0,0,0,0,0,0,0,0,0
ko04916,6,67,0,0,0,0,0,0,1,0,0,1,0,0
ko04917,11,57,2,0,0,0,0,0,2,0,0,0,0,0
ko04918,21,49,0,0,0,1,0,2,0,0,0,0,0,0
ko04919,11,84,0,0,0,0,0,0,0,0,0,0,0,0
ko04920,7,53,0,0,0,0,0,1,0,0,1,2,0,0
ko04921,13,111,3,0,0,0,0,0,3,0,2,1,0,0
ko04922,26,55,2,0,0,0,0,0,0,0,1,2,2,0
ko04923,15,45,3,0,0,0,0,1,2,0,2,2,0,0
ko04924,21,46,3,0,0,0,0,0,1,0,2,2,0,0
ko04925,24,58,2,0,0,0,0,0,4,1,0,2,1,0
ko04930,6,37,1,0,0,0,0,0,0,0,0,1,0,0
ko04931,21,73,2,0,0,0,0,0,1,0,0,2,0,0
ko04932,2,124,1,0,0,0,0,2,0,0,0,2,0,0
ko04940,3,25,0,0,0,0,0,0,0,0,0,0,0,0
ko04950,0,26,0,0,0,0,0,0,0,0,0,0,0,0
ko04960,8,26,1,0,0,0,0,0,2,0,0,0,0,0
ko04961,9,29,1,0,0,0,0,0,0,0,0,0,0,0
ko04962,2,33,0,0,0,0,0,0,0,0,0,0,0,0
ko04964,17,14,2,0,0,0,0,0,0,0,0,0,0,1
ko04966,8,17,0,0,0,0,0,0,0,0,0,0,0,0
ko04970,17,63,1,0,0,0,0,0,0,0,0,0,0,0
ko04971,14,49,0,0,0,0,0,0,0,0,0,0,0,0
ko04972,17,65,0,0,0,0,0,0,0,0,0,0,0,0
ko04973,27,21,3,0,0,0,0,0,0,0,0,2,0,0
ko04974,47,56,4,0,0,0,0,0,1,0,2,0,0,0
ko04975,13,26,0,1,0,0,0,0,0,0,0,1,0,0
ko04976,175,59,11,0,0,0,0,0,3,1,2,2,0,0
ko04977,39,21,1,1,0,0,0,0,1,0,1,1,0,0
ko04978,29,30,6,0,0,0,0,0,0,0,1,0,0,0
ko05010,7,141,0,0,0,0,0,2,0,0,0,2,0,0
ko05012,15,122,1,0,0,0,0,2,1,0,1,2,0,0
ko05014,10,43,0,0,0,0,0,0,0,0,0,0,0,0
ko05016,3,149,0,0,0,0,0,2,0,0,0,2,0,0
ko05020,3,29,0,0,0,0,0,0,1,0,0,0,0,0
ko05030,8,38,0,0,0,0,0,0,1,0,0,2,0,0
ko05031,10,45,0,0,0,0,0,0,1,0,0,2,0,0
ko05032,12,64,1,0,0,0,0,0,0,0,1,3,0,0
ko05033,7,27,0,0,0,0,0,0,0,0,0,0,0,0
ko05034,10,83,0,0,0,0,0,0,1,0,1,2,0,0
ko05100,0,73,0,0,0,0,0,0,0,0,0,0,0,0
ko05110,9,48,0,0,0,0,0,0,0,0,0,0,0,0
ko05111,4,43,0,0,0,0,0,0,0,0,0,0,0,0
ko05120,7,90,0,0,0,0,0,0,0,0,0,0,0,0
ko05130,1,43,0,0,0,0,0,0,0,0,0,0,0,0
ko05131,2,64,0,0,0,0,0,0,0,0,0,0,0,0
ko05132,4,82,0,0,0,0,0,0,0,0,0,0,0,0
ko05133,10,79,0,0,0,0,0,0,0,0,0,0,0,0
ko05134,2,68,0,0,0,0,0,0,0,0,0,1,0,0
ko05140,6,57,1,0,0,0,0,0,1,0,1,1,0,0
ko05142,7,82,0,0,0,0,0,0,0,0,0,0,0,0
ko05143,10,37,3,0,0,0,0,0,3,0,2,1,0,0
ko05144,5,65,0,0,0,0,0,0,0,0,0,0,0,0
ko05145,3,94,0,0,0,0,0,1,0,0,0,0,0,0
ko05146,13,81,1,0,0,0,0,0,1,0,1,0,0,0
ko05150,12,66,0,0,0,0,0,1,0,0,0,0,0,0
ko05152,9,131,0,0,0,0,0,2,0,0,0,0,0,0
ko05160,8,79,0,0,0,0,0,0,0,0,0,0,0,0
ko05161,0,113,0,0,0,0,0,0,0,0,0,0,0,0
ko05162,4,109,0,0,0,0,0,0,0,0,0,0,0,0
ko05164,3,124,0,0,0,0,0,0,0,0,0,0,0,0
ko05166,9,206,0,0,0,0,0,0,0,0,0,0,0,0
ko05168,0,144,0,0,0,0,0,0,0,0,0,0,0,0
ko05169,3,164,0,0,0,0,0,0,0,0,0,1,0,0
ko05200,27,316,3,0,0,0,0,0,3,0,5,1,0,0
ko05202,0,147,0,1,0,0,0,0,0,0,0,0,0,0
ko05203,0,134,0,0,0,0,0,0,0,0,0,0,0,0
ko05204,99,36,0,1,0,0,0,4,0,2,1,7,0,1
ko05205,7,161,0,0,0,0,0,0,0,0,0,0,0,0
ko05206,0,228,0,0,0,0,0,0,0,1,0,4,0,1
ko05210,0,49,0,0,0,0,0,0,0,0,0,0,0,0
ko05211,3,51,0,0,0,0,0,0,0,0,0,0,0,0
ko05212,2,53,0,0,0,0,0,0,0,0,0,0,0,0
ko05213,1,39,0,0,0,0,0,0,0,0,0,0,0,0
ko05214,4,47,0,0,0,0,0,0,0,0,0,0,0,0
ko05215,11,70,2,0,0,0,0,0,2,0,2,0,0,0
ko05216,0,28,0,0,0,0,0,0,0,0,0,0,0,0
ko05217,1,42,0,0,0,0,0,0,0,0,0,0,0,0
ko05218,1,42,0,0,0,0,0,0,0,0,0,0,0,0
ko05219,0,38,0,0,0,0,0,0,0,0,0,1,0,0
ko05220,1,57,0,0,0,0,0,0,0,0,0,0,0,0
ko05221,1,45,0,0,0,0,0,0,0,0,0,0,0,0
ko05222,3,66,0,0,0,0,0,0,0,0,2,2,0,0
ko05223,6,46,0,0,0,0,0,0,0,0,2,1,0,0
ko05230,37,46,6,0,0,0,0,0,1,0,2,1,2,0
ko05231,11,61,1,0,0,0,0,0,0,0,0,1,0,0
ko05310,5,20,1,0,0,0,0,0,1,0,1,0,0,0
ko05320,4,25,0,0,0,1,0,0,0,0,0,0,0,0
ko05321,0,52,0,0,0,0,0,0,0,0,0,0,0,0
ko05322,3,45,0,0,0,0,0,0,0,0,0,0,0,0
ko05323,4,65,1,0,0,0,0,1,1,0,1,0,0,0
ko05330,1,22,0,0,0,0,0,0,0,0,0,0,0,0
ko05332,2,17,0,0,0,0,0,0,0,0,0,0,0,0
ko05340,0,35,0,0,0,0,0,1,0,0,0,0,0,0
ko05410,5,73,0,0,0,0,0,0,0,0,0,0,0,0
ko05412,2,65,0,0,0,0,0,0,0,0,0,0,0,0
ko05414,4,82,0,0,0,0,0,0,0,0,0,0,0,0
ko05416,0,38,0,0,0,0,0,0,0,0,0,0,0,0
