RI401,C10173
RI402,C10206
RI403,C10247
RI404,C10254
RI405,C10258
RI406,C10263
RI407,C10263
RI408,C10263
RI409,C10267
RI410,C10269
RI411,C10272
RI412,C10278
RI413,C10283
RI414,C10287
RI415,C10310
RI416,C10314
RI417,C10326
RI418,C10330
RI419,C10336
RI420,C10347
RI421,C10356
RI422,C10373
RI423,C10373
RI424,C10373
RI425,C10373
RI426,C10378
RI427,C10403
RI428,C10403
RI429,C10403
RI430,C10408
RI431,C10408
RI432,C10409
RI433,C10409
RI434,C10454
RI435,C10454
RI436,C10478
RI437,C10478
RI438,C10487
RI439,C10494
RI440,C10528
RI441,C10574
RI442,C10605
RI443,C10655
RI444,C10658
RI445,C10673
RI446,C10675
RI447,C10683
RI448,C10689
RI449,C10692
RI450,C10695
RI451,C10712
RI452,C10738
RI453,C10743
RI454,C10773
RI455,C10773
RI456,C10804
RI457,C10812
RI458,C10838
RI459,C10839
RI460,C10846
RI461,C10858
RI462,C10861
RI463,C10861
RI464,C10865
RI465,C10869
RI466,C10903
RI467,C10935
RI468,C10938
RI469,C10968
RI470,C10991
RI471,C11075
RI472,C11075
RI473,C11124
RI474,C11135
RI475,C11136
RI476,C11354
RI477,C11356
RI478,C11358
RI479,C11380
RI480,C11457
RI481,C11546
RI482,C11606
RI483,C11637
RI484,C11637
RI485,C11703
RI486,C11723
RI487,C11723
RI488,C11834
RI489,C11844
RI490,C11845
RI491,C11901
RI492,C11902
RI493,C11998
RI494,C12064
RI495,C12067
RI496,C12100
RI497,C12104
RI498,C12206
RI499,C12238
RI500,C12240
RI501,C12259
RI502,C12262
RI503,C12280
RI504,C12293
RI505,C12297
RI506,C12298
RI507,C12304
RI508,C12305
RI509,C12313
RI510,C12333
RI511,C12449
RI512,C12456
RI513,C12459
RI514,C12512
RI515,C12590
RI516,C12889
RI517,C12946
RI518,C12946
RI519,C13014
RI520,C13342
RI521,C13431
RI522,C13433
RI523,C13626
RI524,C13629
RI525,C13631
RI526,C13635
RI527,C13636
RI528,C13687
RI529,C13730
RI530,C13792
RI531,C13800
RI532,C13829
RI533,C13831
RI534,C13831
RI535,C13846
RI536,C13929
RI537,C13946
RI538,C13958
RI539,C14088
RI540,C14103
RI541,C14108
RI542,C14127
RI543,C14208
RI544,C14209
RI545,C14211
RI546,C14218
RI547,C14221
RI548,C14227
RI549,C14227
RI550,C14231
RI551,C14232
RI552,C14235
RI553,C14236
RI554,C14240
RI555,C14241
RI556,C14249
RI557,C14249
RI558,C14258
RI559,C14271
RI560,C14273
RI561,C14285
RI562,C14290
RI563,C14297
RI564,C14308
RI565,C14341
RI566,C14349
RI567,C14393
RI568,C14446
RI569,C14475
RI570,C14478
RI571,C14478
RI572,C14487
RI573,C14491
RI574,C14497
RI575,C14497
RI576,C14500
RI577,C14500
RI578,C14535
RI579,C14535
RI580,C14552
RI581,C14552
RI582,C14553
RI583,C14577
RI584,C14577
RI585,C14579
RI586,C14579
RI587,C14594
RI588,C14598
RI589,C14600
RI590,C14600
RI591,C14606
RI592,C14614
