,S1,S2,S3,S4,S5
K00001,0.684549658043,0.853807058523,0.936407714638,1.09840671177,1.42682885702
K00002,1.0292480234,0.948376924296,1.05673767652,0.884829978364,1.08080739742
K00003,1.95200752609,1.31588810686,0.81263488347,0.377575773077,0.541893710507
K00004,0.705230158279,0.931702682646,1.24046384383,1.00195152318,1.12065179206
K00005,0.55571782658,0.576853388231,1.08377234216,1.1279039621,1.65575248093
K00006,0.483231624494,0.709794193435,1.47098276887,0.661942372558,1.67404904064
K00008,0.521120692065,0.732602299562,1.43123947351,1.1074046395,1.20763289536
K00009,0.33686864426,2.22524104983,1.76876043843,0.0,0.669129867476
K00010,0.888612302721,0.199717655104,1.20874153087,0.806772926418,1.89615558488
K00011,1.2897968455,0.886076306853,1.37611092013,0.464226022794,0.983789904729
K00012,1.61627171119,1.40864020897,0.529266899173,0.83389433486,0.611926845813
K00013,0.965805632871,0.594556105548,1.54786595699,0.987813366954,0.90395893764
K00014,1.37547656702,1.2709599971,0.961996594734,0.607888044883,0.783678796265
K00015,0.374424736146,0.555235993502,2.47148279621,0.597099868636,1.0017566055
K00016,0.746783676118,0.816317588338,1.23676052089,0.955215762516,1.24492245214
K00018,1.08806645582,0.733408299177,1.30582744291,0.946447285593,0.9262505165
K00019,1.04741946819,0.672121810673,1.16276712475,0.968455751738,1.14923584465
K00020,0.435761459459,1.42089910985,0.682337555031,0.93156937941,1.52943249625
K00021,0.807621275399,0.84687739637,0.924412708289,1.09742219655,1.32366642339
K00022,0.614669314518,0.374048084964,0.614528317699,2.88977494998,0.506979332837
K00023,2.13670795185,0.403267846553,0.641084895615,0.0,1.81893930598
K00024,1.00495121866,1.25830516734,1.19813635691,0.518728920802,1.01987833629
K00025,0.571089260094,2.634259022,0.446201770267,0.703834903007,0.644615044636
K00026,0.980223900463,1.20097023057,1.01183973118,0.534522279083,1.27244385871
K00027,0.865606483895,0.588127425047,1.40244112735,0.761307997777,1.38251696594
K00028,0.510536633962,0.749429649735,1.04246353576,1.00741925651,1.69015092404
K00029,0.465429585142,1.67621866395,0.793392149565,0.93854108878,1.12641851257
K00030,0.772403007922,0.558816179529,1.56429302078,1.04513042568,1.0593573661
K00031,0.807112301865,1.02529088719,1.3066961087,0.734586767987,1.12631393425
K00033,1.07907966775,2.31963724577,0.622976693742,0.460855432141,0.517450960599
K00034,0.322592747826,0.426187855161,1.95997262621,0.963930589402,1.3273161814
K00036,1.08707134325,2.19861635073,0.76934721361,0.382415002354,0.562550090055
K00038,1.53444019087,1.44799945846,0.460384129116,1.55717622155,0.0
K00040,1.25295538055,0.354711520847,1.40973425144,1.27152060854,0.711078238632
K00041,0.665011712972,0.468570013874,1.72257516887,0.734853317266,1.40898978702
K00042,0.0,1.96339272478,1.5606270507,0.0,1.47598022452
K00044,0.0,0.0,5.0,0.0,0.0
K00045,0.58529205752,0.617242244147,1.50421669839,0.81453015191,1.47871884804
K00046,0.871752193578,0.82264314486,1.3077762067,0.884669076714,1.11315937814
K00048,0.100146468879,0.793840699661,1.36715393246,0.948549972009,1.79030892699
K00049,0.491381538885,0.349558601897,1.50833393904,1.07404212014,1.57668380003
K00050,0.59038475377,3.11990661445,0.495979291022,0.559190401752,0.234538939009
