RInumber,cNumber,S1,S2,S3,S4,S5
RI1078,C04411,0,3.73632696578027e-05,8.82410235014462e-07,6.41852784608601e-05,0.000280523135507502
RI1079,C04411,5.88308982744148e-05,5.12688417871336e-05,1.1051067620151e-05,7.96686229544588e-05,7.79830063834888e-05
RI1080,C04480,0,0.000505885219859822,4.39641711297021e-05,0,0
RI1081,C04484,0,0.000505885219859822,4.39641711297021e-05,0,0
RI1082,C04547,0,0,1.11876592015009e-05,0,0
RI1083,C04553,0,0.000505885219859822,4.39641711297021e-05,0,0
RI1084,C04575,0.000367055276185314,0.00366385788872177,0.000423950958245893,0.000194448527696967,0.000675733294654561
RI1085,C04586,2.88850918408403e-05,0.000148563606381915,3.65156335371609e-06,1.02975709854416e-05,0
RI1086,C04587,2.88850918408403e-05,0.000148563606381915,3.65156335371609e-06,1.02975709854416e-05,0
RI1087,C04617,0.000367055276185314,0.00366385788872177,0.000423950958245893,0.000194448527696967,0.000675733294654561
RI1088,C04643,0.000283325248194322,0.000356346632933183,0.000252070601338426,0.000249040796548976,0.000409402913012391
RI1089,C04707,0.00386300860846285,0.0209376658253062,0.00711637216854617,0.023011936121402,0.0454522389284303
RI1090,C04719,0.00218575287334089,6.83448599585668e-05,0.000228628640191827,8.42311080605906e-05,0.000182120021559915
RI1091,C04741,0.00924297541447487,0.0136227467228404,0.000509943904000344,0.00132350015921957,0.00218626109698788
RI1092,C04741,0.000938436488880632,0.00515866199309804,0.00220912614229492,0.00175765948777671,0.0117819039596635
RI1093,C04741,0.000226213104147518,0.00117993385487779,0.000326521911826349,0.00025143489277286,0.00152335515894498
RI1094,C04758,0.00386300860846285,0.0209376658253062,0.00711637216854617,0.023011936121402,0.0454522389284303
RI1095,C04835,0.00386300860846285,0.0209376658253062,0.00711637216854617,0.023011936121402,0.0454522389284303
RI1096,C04843,0.00924297541447487,0.0136227467228404,0.000509943904000344,0.00132350015921957,0.00218626109698788
RI1097,C04843,0.000938436488880632,0.00515866199309804,0.00220912614229492,0.00175765948777671,0.0117819039596635
RI1098,C04843,0.000226213104147518,0.00117993385487779,0.000326521911826349,0.00025143489277286,0.00152335515894498
RI1099,C04873,0.00359268697850415,0,0,0,0
RI1100,C04873,0.00381003860695587,0,0,0,0
RI1101,C05003,9.56270155621611e-05,0.00240313022346395,0.000227868558312565,0.000299193891391861,0.000270323951953239
RI1102,C05122,0.00010937140066547,0.000226215940871565,0.000278765358690871,0.000409096804327473,0.00048561304301897
RI1103,C05375,0,0.000505885219859822,4.39641711297021e-05,0,0
RI1104,C05406,0.000203785546367881,0.000388220736610298,0.000402538796958531,0.000529947904598251,0.00052863812668883
RI1105,C05422,0.00010596718345485,0.000209193628272157,0.000281520190784133,0.000402576427703194,0.000527599596111949
RI1106,C05463,0,8.93371122450396e-06,0,0,0.000612551454958901
RI1107,C05465,0,8.93371122450396e-06,0,0,0.000612551454958901
RI1108,C05585,0.001095062099296,0.00158615109870736,0.00218073418785379,0.00111278371008528,0.00265667615412807
RI1109,C05672,0.000151082773355243,0.000202059445768575,9.19640688041972e-05,0.000180832182266374,0.000428823410439893
RI1110,C05795,0.0058706913480158,0.0114330857998951,0.00431545190358467,0.00254891481417524,0.0176426661660748
RI1111,C05817,0,3.56949256439583e-05,0,0,0
RI1112,C05840,0.00264017205609937,0.00470045491341999,0.00406008248987588,0.00626713318248312,0.00833810242777168
RI1113,C05959,0.00924297541447487,0.0136227467228404,0.000509943904000344,0.00132350015921957,0.00218626109698788
RI1114,C05959,0.000938436488880632,0.00515866199309804,0.00220912614229492,0.00175765948777671,0.0117819039596635
RI1115,C05959,0.000226213104147518,0.00117993385487779,0.000326521911826349,0.00025143489277286,0.00152335515894498
