gID	S1	S2	S3	S4	S5
K01197	0.067460	0.193116	1.287042	0.452628	0.736400
K01194	1.427908	1.039854	2.314315	1.597511	1.718267
K01195	0.438491	0.401087	0.696656	0.745505	0.624824
K01198	0.550925	0.371376	0.684848	0.159751	0.513249
K04348	7.735439	8.630789	16.377318	5.671163	11.269152
K15718	0.011243	0.014855	0.023615	0.000000	0.044630
K15715	0.146164	0.207971	0.448694	0.266252	0.267782
K05016	4.778432	4.857604	8.477948	4.606155	6.582970
K15717	0.078704	0.074275	0.436886	0.399378	0.803346
K15716	0.281084	0.148551	0.507732	0.266252	0.535564
K15711	0.798279	1.069564	3.518703	1.038382	3.213382
K00306	0.303571	0.207971	0.212539	0.426003	0.334727
K15712	0.044973	0.014855	0.047231	0.053250	0.089261
K01000	0.348544	0.326811	0.247962	0.266252	1.361224
K04521	0.067460	0.207971	0.673040	0.079876	0.423988
K13717	2.372351	2.852171	3.884742	2.023513	4.284509
K13716	0.089947	0.029710	0.118077	0.133126	0.044630
K18035	0.089947	0.089130	0.059039	0.053250	0.022315
K04523	10.186493	14.780784	18.443671	10.809822	17.138037
K13712	0.640872	0.772463	1.050888	0.532504	0.892606
K13711	0.033730	0.059420	0.070846	0.079876	0.000000
K05015	0.033730	0.044565	0.106270	0.053250	0.044630
K17900	3.676582	2.228259	4.959246	3.621024	3.436534
K13719	0.978173	0.935869	2.030929	0.878631	1.919103
K18038	0.022487	0.029710	0.141693	0.079876	0.111576
K16273	0.798279	0.906159	2.774816	1.065007	1.294279
K07128	0.044973	0.148551	0.720271	0.159751	0.379358
K01007	24.015839	25.520991	61.411992	22.391773	55.631676
K11807	0.033730	0.089130	0.377847	0.319502	0.647139
K02644	0.112434	0.148551	0.035423	0.026625	0.111576
K02641	41.150735	24.570267	75.238841	216.462682	44.786512
K05030	0.033730	0.059420	0.035423	0.026625	0.044630
K02649	0.011243	0.029710	0.000000	0.000000	0.000000
K03594	0.033730	0.014855	0.000000	0.026625	0.000000
